SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
SYN_974f850e-091a-43c0-bf0d-64de52e0d81b,128.08,884.8261,1.3439,0.1846,0.8996,9.8603,3004.6856,18.3277
SYN_d0d5302f-ca27-4937-804a-c6f77e6e144a,172.27,2480.0144,1.2273,0.1646,0.8243,30.4336,1555.062,15.2871
SYN_5ea9372b-ea1c-4e91-a7cb-80297170aa24,119.86,942.8636,1.2891,0.1908,0.8991,10.3903,1675.5322,19.5278
SYN_035a6576-8546-4794-859c-43400334fa71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SYN_757f6883-6c10-4460-8946-6cfe11c26192,96.45,1325.8035,1.2398,0.1128,0.8626,11.3287,2124.0971,9.9054
SYN_29ffca78-f612-45c0-8dc4-0260baf6cf84,155.92,1255.618,1.2028,0.3363,0.9106,37.8036,2325.0992,40.3835
SYN_667e9acb-9fdf-4cac-a2b5-16ae169959e1,123.65,1433.8136,1.2458,0.1241,0.8946,11.4577,2505.6631,10.8909
SYN_8fe33d0d-efca-4658-adcf-64ef6d5f7189,112.8,1681.8529,1.1123,0.2375,0.9034,32.0066,1881.4201,25.2624
SYN_f337c968-4292-4a40-af20-4c7dce816df1,120.8,1855.9003,1.0024,0.225,0.8221,26.7146,1723.4627,24.7841
SYN_ad238b58-a960-4010-9e40-af58c098a112,118.35,1676.082,1.1742,0.1989,0.8641,30.7594,1777.1598,20.2043
SYN_b98e8e91-0b25-4dc0-8bab-c27d9a8d79a2,135.94,2361.1278,1.4271,0.2528,0.8494,23.3399,2377.691,27.2185
SYN_d40e7d97-b65c-4d7e-a12c-4ba39ff5dfb1,97.99,1810.9991,1.3935,0.2614,0.8588,35.1553,1825.1888,28.6639
SYN_8b493e8c-29d3-4642-b616-2b9a92fd7ce6,165.57,1092.3687,1.1018,0.2103,0.9481,29.5025,1559.9011,21.2463
SYN_aaa046b9-0721-4197-924c-71af7eae5c30,83.07,1626.6757,1.0795,0.1286,0.8804,18.764,1472.6872,11.2622
SYN_aaed385b-7a9b-4514-9bfa-2f042a83cb15,89.92,2001.121,1.238,0.2289,0.8253,34.3188,1849.645,24.1778
SYN_b0f31461-519f-48c3-a9aa-0a1e6c431bfa,85.01,1966.5092,1.1789,0.2422,0.8038,33.6837,1878.7339,26.1175
SYN_e1169302-7083-45c6-b270-67c7b1c99e44,101.94,2526.6177,1.2988,0.24,0.7834,37.7952,2003.6959,25.9995
SYN_86bb0871-f9ad-4c99-b68b-148f331b6155,123.87,1525.7309,1.1228,0.229,0.8495,26.433,1871.8697,25.241
SYN_bbefed57-69a0-464a-b77d-16fd70d97d5b,103.99,1307.7308,1.0938,0.1863,0.9383,25.2289,1922.7629,18.5034
SYN_1e96bb59-523c-471d-bb50-4a37a1286236,164.14,1906.6516,1.1777,0.1885,0.8374,31.1961,1905.3194,20.0391
SYN_04d5423b-97d1-4bae-961a-ef87db21db3b,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573
SYN_b8b4c81a-90c9-4fb6-a65b-56e8998c8ef6,116.96,1453.269,1.2323,0.3146,0.8781,37.4723,1993.2678,36.2402
SYN_15b5373e-5cb3-41fc-83cd-94c7f5b35625,117.79,1697.1483,1.1602,0.171,0.9026,19.5408,1989.8891,16.5926
SYN_7f337c14-0b8b-4a29-9c1c-8ebd35b9eceb,92.09,1640.2451,1.0385,0.22,0.8627,30.9421,1719.0353,23.7514
SYN_f1d77233-3476-4bfb-b2e6-7fab3ba79fcd,139.97,1257.2251,0.986,0.0783,0.8063,8.7394,1991.7068,6.2968
SYN_620ca6bf-cf2f-4ee0-95bb-1d7d72b2c8e7,139.95,1949.2216,0.9708,0.1235,0.8752,17.7127,1791.7425,11.3256
SYN_a5bb9e41-69bb-445b-bb42-2da449711e18,115.35,1299.2277,1.1207,0.2649,0.916,32.6338,2209.2564,29.4904
SYN_6f5cd559-a178-4d4d-bf84-696ac7444d9d,89.85,1959.882,1.1485,0.2419,0.8944,36.0126,2001.5049,25.6667
SYN_d97ba9dd-ac27-420b-a3fa-c14bd07a3cf8,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009
SYN_e7cfa91b-d827-438d-bbdc-056600c0d172,114.88,1890.7792,1.0121,0.1669,0.8529,20.7972,1689.2871,16.2001
SYN_7fc248aa-58d3-4293-b7d0-6da4b0ab8529,95.3,2742.0943,1.377,0.2266,0.8592,28.0899,1924.6794,23.5755
SYN_d66c5d0e-b727-4cd1-858c-c2233000b692,147.97,2388.1245,1.3361,0.0362,0.8141,6.7419,3027.0889,2.4698
SYN_bf9ae081-c613-4063-bede-57571aa3c157,149.49,1965.8871,0.9677,0.1341,0.831,18.9019,2138.5227,13.3104
SYN_66d6f310-1359-46e9-ae91-0fac657e5867,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573
SYN_e86af282-43f2-47bc-b6c8-c9bc1faeca8f,96.99,2161.1713,1.3931,0.2626,0.8235,33.1024,2411.5925,29.2878
SYN_827e8524-fc71-4609-9096-5eda5a6f923e,105.0,1664.7941,1.1652,0.1947,0.9133,30.5575,2195.0775,19.8458
SYN_edddb5a3-c2db-4220-8710-aca1e0613d9c,152.76,2472.0097,1.1709,0.1392,0.8306,23.7165,1960.6922,13.139
SYN_d4ff744f-a5fa-48a9-8f05-ed2a87d9d950,165.59,1105.2764,1.0863,0.2269,0.9074,28.2931,1931.7829,24.8198
SYN_504553bb-b182-426b-bbb8-ff3a6c06e8bf,143.15,2269.3179,1.2104,0.1545,0.8686,19.7747,2164.3736,15.3918
SYN_b4cb2778-343a-4154-83b8-5e42618b4614,164.21,911.0792,1.0863,0.0469,0.7685,5.5482,2147.5617,3.0395
SYN_bee12001-790b-4abb-88ac-a037b7aca60a,71.52,2384.9098,1.3276,0.1877,0.854,22.6539,2383.5316,19.5479
SYN_cbfe3507-a87d-42d3-863f-379e15465233,119.99,2206.2041,1.2167,0.2379,0.8373,34.6296,2426.3639,25.9216
SYN_9e360869-8992-4563-a977-c62609ef0c88,109.93,1392.1472,1.1312,0.2321,0.8974,28.071,2081.7819,25.4888
SYN_b82ab571-f751-4b29-9584-488578374c94,128.13,1643.6374,1.3086,0.1891,0.8966,28.3094,1996.9504,18.7399
SYN_f333da91-0737-46de-9837-0158eb3a8ed0,119.98,1766.5243,1.1383,0.2752,0.8244,38.336,1670.8472,30.6277
SYN_9ddd0705-9744-4e5d-9e38-c0f7aa58149e,172.27,2164.6181,1.1645,0.2465,0.8365,36.2506,2174.1046,26.3237
SYN_7b36e404-cf07-4588-b3af-f0d57af73b8a,139.09,1674.9314,1.1507,0.292,0.885,43.6786,2066.9335,32.7928
SYN_f1888c30-9bc5-4545-b7f0-e512d1c488b1,163.91,1440.421,1.043,0.2134,0.9414,32.8166,1838.2189,22.0763
SYN_abe6b7ae-65fa-47a4-b79f-e397c9585739,144.61,995.4358,1.1248,0.2384,0.9203,28.478,2089.4875,26.5671
SYN_f3be3db1-b409-4ab4-9d38-3e957d0b482c,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009
SYN_a0406704-5bab-44e9-a29b-eedbd4086f5f,90.1,1068.3332,0.992,0.1652,0.921,18.7117,1698.4194,16.0579
SYN_8ee70f87-a59b-4d81-918c-3690f267b839,129.99,2376.7505,1.0963,0.2779,0.7882,43.3783,2089.6121,30.7099
SYN_24c90d05-cb2c-475a-904a-74298d788c28,148.27,1293.5099,1.0615,0.1911,0.9413,18.3005,1822.9448,18.6863
SYN_ca435da3-1468-4d43-bc27-eac94d87fb0d,79.92,1696.6657,1.0766,0.2475,0.8731,29.657,2192.1247,26.9923
SYN_35557b97-d18b-4dd4-851d-842796d436bb,97.15,1251.5954,1.1822,0.2274,0.8816,22.6252,2156.859,25.3745
SYN_3d3bdc1d-aa5e-4bbf-8299-43413a4864eb,150.84,1823.8799,1.1336,0.1386,0.8414,16.2819,1632.7056,12.9153
SYN_2fad9ca2-b2af-414d-b366-9b1369698a37,122.78,1658.5487,1.1396,0.1887,0.878,24.1614,1755.6582,18.7812
SYN_4cea9b49-fbf5-49e4-b260-c54a036c2596,104.02,1507.058,1.0352,0.1085,0.9079,15.4999,1555.1525,8.9099
SYN_662caa2b-429e-497a-a86c-f92d22de85ed,79.86,3251.6721,1.4809,0.1505,0.7872,21.8277,1998.6323,14.1474
SYN_fa7a24d3-0b49-4544-85bb-e3b261917548,135.64,1634.3491,1.0468,0.5916,0.95,61.2225,1942.9244,81.9478
SYN_f742fdbf-1ef7-4891-8332-d32928bf56c2,162.93,2492.6612,1.0772,0.1738,0.826,25.6841,1774.7425,16.9647
SYN_47ca11bd-bcd7-4bd1-92e2-dc9b6f7cfecc,83.97,1513.4018,1.0541,0.3089,0.9329,50.1635,1527.6942,34.702
SYN_bdd5d482-fd67-4aff-a4d8-072936285d8a,126.24,1299.1366,1.3187,0.0479,0.8002,6.3499,2422.337,3.0257
SYN_68eb897d-5a8d-41ae-895a-08e9d198e023,96.42,551.1992,1.2526,0.1866,0.9807,14.2465,2104.6225,18.2422
SYN_f742c7e1-e3e4-4da5-bd2a-8ec4f0516107,89.99,2162.1072,1.1973,0.2168,0.732,25.6232,2168.503,24.8034
SYN_26e57c47-5cfb-4a6d-bc56-6e4152e3964e,90.05,1666.7213,1.2422,0.2231,0.8702,25.6461,2106.2023,24.2337
SYN_84e2b4f5-041b-4566-a265-55798a989dca,150.19,2198.4763,1.2014,0.1555,0.8532,20.9463,2270.9921,14.9904
SYN_5a820f04-ffe2-4be4-8a63-73ed1478ea39,122.26,1431.3953,1.0143,0.2282,0.8597,25.6956,1346.0725,24.2382
SYN_98ea30d5-f667-49c6-b3c0-3e5e659c104a,116.96,1453.269,1.2323,0.3146,0.8781,37.4723,1993.2678,36.2402
SYN_1226a187-8fa3-48de-86ec-9e59f1c7d7c3,100.48,1193.37,1.3383,0.2812,0.9524,23.1899,2008.3294,31.4019
SYN_d7ca2a9d-ba49-4d53-bb79-118b77d29b7a,113.95,2096.5049,1.2659,0.0382,0.6509,5.6112,2489.1112,2.4215
SYN_d09f0b00-6603-4c90-857d-71a79da8ee34,150.19,3129.9812,1.2094,0.1262,0.7213,21.2777,1913.4062,11.2966
SYN_9fcd4b5b-4055-406c-8e58-9fedc334c67b,123.76,994.2773,1.2238,0.2298,0.8533,23.914,2252.3836,25.2464
