SongKey,Title,DiscNumber,TrackNumber,DurationMs,Popularity,FeaturingArtists,AlbumKey,LyricsKey,SymphonyKey,Category
54bc3829-f0ae-468f-bd32-c595aeedaa61,ciro,1,16,269546,6.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,6d83b091b761497eb960d2bd0dcc15f3,bfbf924a58a64776970c7d37066750d3,rap_street
1e2bce82-88a0-4c72-b854-67fdfdbfbdfa,"...run, pippa, run!",1,20,204573,5.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,e944f1699def46558543f85d14943b5e,ed30b7d1ae5446a28313278bd7236890,rap_street
f21e7d81-7422-480c-8eb9-aa1cff7f7e74,tonino,1,11,94586,6.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,eef1024388314cf08a1a08a85e2c4d05,766166586bf14a12aa7273075ee4bb37,italian_love
52781c16-0da9-457c-a5d7-f4c3cfc8b18a,quarant’anni,1,9,92560,7.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,5b9ab2382057436bae88344aff532392,8d46b85da77141b59f9bfa7e1855af7a,italian_pop
d64b1899-109a-44c9-8424-470a56fe16b1,aa meeting,1,6,305226,7.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,c9a457b300b3466bb70ed1b50fc5a309,e363c3a753de45abb9a4d35f2199ed80,italian_pop
6d4f1e22-6db5-4a71-ab0c-7237299e9b4a,londra,1,19,181480,5.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,95055c7a099b4896a5b665607e4e051c,1b33b6d168c748c581180c99b0502f9a,italian_pop
32fe8dc7-be9d-4393-ab3d-f9cc64bbf7dc,salviamo i panda,1,10,209333,7.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,86e930bf760b4092baed6809cbb5a0d3,ea8555eb05364e1f8cf5167fc3c7d313,rap_street
708cff23-20bd-4030-9989-f97642242fa4,ny,1,18,225613,5.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,8690ce3b5d8e41f2976062794eec9532,92311af2955a4b21b1040f26e96053c2,italian_pop
7515a1bf-cd1b-4342-b055-258245f9dbec,fan club,1,22,261133,6.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,bdc4f5a4c3214ba9b7b40754f9ffda6d,0143e679bfd24c09a5c0e604936179b7,italian_pop
868a20bd-31d3-40d2-b7d1-ed8037a5daba,giulia vegan warrior,1,12,133440,7.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,277ad036867848d9b061ab02594c1035,6337bfa0ccec42899eeb3654ed51550a,italian_love
3946bb18-7d4a-45d7-9a86-b6b3b47003dc,prima non era così,1,23,187986,5.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,92894392f4c34eeb914562ff89b0758d,6ddb0400ef3a4dafb71a62ed19310d40,italian_pop
d639de0c-0247-4bba-8bcc-cd9373fa82ee,cena vegana con delitto,1,13,300960,6.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,304a2ae8a50e4100bbf0b5e0bfc3985f,9bdea86d59ca426cb18c210ae7b6dc12,italian_love
