SongID_Original,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
a5c07df7-8183-4894-88d8-0f542d0ab641,143.15,2269.3179,1.2104,0.1545,0.8686,19.7747,2164.3736,15.3918
db9737b6-0a05-471c-8cfb-a765884be297,164.21,911.0792,1.0863,0.0469,0.7685,5.5482,2147.5617,3.0395
82041fc9-c845-4c1e-a60c-039623464164,71.52,2384.9098,1.3276,0.1877,0.854,22.6539,2383.5316,19.5479
b5816827-647f-4b52-a292-85bd08ef5b1d,119.99,2206.2041,1.2167,0.2379,0.8373,34.6296,2426.3639,25.9216
4ed13c97-3761-436e-a8cb-592114248d04,109.93,1392.1472,1.1312,0.2321,0.8974,28.071,2081.7819,25.4888
a8ec4615-ab5b-4b0d-842e-264cb2c76001,128.13,1643.6374,1.3086,0.1891,0.8966,28.3094,1996.9504,18.7399
9881defb-bc42-46ab-9f73-6f2f8793a3d2,119.98,1766.5243,1.1383,0.2752,0.8244,38.336,1670.8472,30.6277
e5faa6f7-fd19-407b-aef0-83415ce0cf45,172.27,2164.6181,1.1645,0.2465,0.8365,36.2506,2174.1046,26.3237
3f066d00-2d3a-4162-8227-8038d2d6fb66,139.09,1674.9314,1.1507,0.292,0.885,43.6786,2066.9335,32.7928
15560d5d-a9bc-425a-a9ca-60af2cebacdf,163.91,1440.421,1.043,0.2134,0.9414,32.8166,1838.2189,22.0763
c70b3145-6a88-4c69-9118-362d24abcf8c,144.61,995.4358,1.1248,0.2384,0.9203,28.478,2089.4875,26.5671
72d9b028-adc8-4bbc-8d78-e0c6ae991100,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009
64544f4e-c598-4fa9-80bb-758c8b248160,90.1,1068.3332,0.992,0.1652,0.921,18.7117,1698.4194,16.0579
81291f21-775c-4b92-8825-7be3e4a9a02c,129.99,2376.7505,1.0963,0.2779,0.7882,43.3783,2089.6121,30.7099
96ed149e-db54-4ba0-89fc-8cda7c29a8e0,148.27,1293.5099,1.0615,0.1911,0.9413,18.3005,1822.9448,18.6863
b6dd8299-b219-40ac-aed3-e32e1af6935c,79.92,1696.6657,1.0766,0.2475,0.8731,29.657,2192.1247,26.9923
b4b4ba42-e7e5-4a0d-b803-f8bfd214a683,97.15,1251.5954,1.1822,0.2274,0.8816,22.6252,2156.859,25.3745
1ac6f4ac-dfc0-43ad-88c2-d2d25e1f6658,150.84,1823.8799,1.1336,0.1386,0.8414,16.2819,1632.7056,12.9153
d258dce2-80cd-43c7-b3cd-ce8b75df6771,122.78,1658.5487,1.1396,0.1887,0.878,24.1614,1755.6582,18.7812
d51532aa-33ea-4dfb-83e3-a0854eea6713,104.02,1507.058,1.0352,0.1085,0.9079,15.4999,1555.1525,8.9099
2ec6da09-1841-41bb-88cb-0cb6e2bbe059,79.86,3251.6721,1.4809,0.1505,0.7872,21.8277,1998.6323,14.1474
