SongID_Original,ArtistID_Original
TR290414,ART04141409
TR290414,ART07127070
TR476300,ART04141409
TR260670,ART04141409
TR260670,ART16868977
TR260670,ART02733420
TR596933,ART04141409
TR596933,ART05528539
TR124504,ART04141409
TR124504,ART57242110
TR522698,ART04141409
TR198571,ART04141409
TR130964,ART04141409
TR754903,ART04141409
TR754903,ART39344115
TR489583,ART04141409
TR825655,ART04141409
TR402842,ART04141409
TR402842,ART02733420
TR903963,ART04141409
TR139128,ART04141409
TR139128,ART74676403
TR597234,ART04141409
TR328844,ART04141409
TR328844,ART05528539
TR140226,ART04141409
TR558297,ART04141409
TR908583,ART04141409
TR179816,ART04141409
TR340468,ART04141409
TR609224,ART04141409
TR609224,ART48622722
TR291948,ART04141409
TR560473,ART04141409
TR220750,ART04141409
TR241225,ART04141409
TR563387,ART04141409
TR258835,ART04141409
TR100174,ART04141409
TR930889,ART04141409
TR930889,ART87497821
TR930889,ART09119396
TR112259,ART04141409
TR263207,ART04141409
TR263207,ART63613967
TR773042,ART04141409
TR773042,ART74676403
TR469109,ART04141409
TR562505,ART04141409
TR363510,ART04141409
TR659688,ART04141409
TR809387,ART04141409
TR366289,ART04141409
TR761185,ART04141409
TR850050,ART04141409
TR355675,ART04141409
TR221394,ART04141409
TR912221,ART04141409
TR589213,ART04141409
TR961600,ART04141409
TR473965,ART04141409
TR669364,ART04141409
TR495708,ART04141409
TR495708,ART57242110
TR957588,ART04141409
TR449642,ART04141409
TR735916,ART04141409
TR309212,ART04141409
TR309212,ART78209349
TR721099,ART04141409
TR357440,ART04141409
TR182314,ART04141409
TR613819,ART04141409
TR142062,ART04141409
TR142062,ART02733420
TR142062,ART89596800
TR644659,ART04141409
TR794265,ART04141409
TR484176,ART04141409
TR647710,ART04141409
TR614575,ART04141409
TR526883,ART04141409
TR554368,ART04141409
TR762968,ART04141409
TR239987,ART04141409
TR241223,ART04141409
TR721821,ART04141409
TR721821,ART87162895
TR922856,ART04141409
TR480881,ART04141409
TR298433,ART04141409
TR617205,ART04141409
TR502252,ART04141409
TR900638,ART04141409
TR524391,ART04141409
TR516718,ART04141409
TR841644,ART04141409
TR803730,ART04141409
TR225416,ART04141409
